Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
22:47:53,NEWORD,1478,1864,18279,70367,253014
22:47:53,PAYMENT,1204,1507,2314,66483,235295
22:47:53,SLEV,1399,1618.5,1746,1790,1790
22:47:53,DELIVERY,2389,2838,174387,244044,244044
22:47:53,OSTAT,677,855,1098,1098,1098
22:47:55,NEWORD,1462,1858,2323,90975,203638
22:47:55,PAYMENT,1146,1488,2066,87847,181799
22:47:55,SLEV,1546,1708,1881,2100,2100
22:47:55,DELIVERY,2497,3081,3715,48928,48928
22:47:55,OSTAT,586,741,906,1014,1014
22:47:57,NEWORD,1383,1949,2410,70889,207829
22:47:57,PAYMENT,1123,1605,2255,144182,192428
22:47:57,SLEV,1573,1856.5,2267.5,2276,2276
22:47:57,DELIVERY,2552,2996,3420,3866,3866
22:47:57,OSTAT,627,831,882,882,882
22:47:59,NEWORD,1624,1950,60443,227161,247407
22:47:59,PAYMENT,1263,1592,19948,300335,319629
22:47:59,SLEV,1457,1713,1823,1976,1976
22:47:59,DELIVERY,2955,46371.5,89788,89788,89788
22:47:59,OSTAT,664,761.5,859,859,859
22:48:01,NEWORD,10492,27048,145417,206764,206764
22:48:01,PAYMENT,4523,26172,161901,192744,192744
22:48:01,DELIVERY,26250,75610,124970,124970,124970
22:48:01,OSTAT,1086,1144.5,1203,1203,1203
22:48:03,NEWORD,12269,29248,192798,269584,269584
22:48:03,PAYMENT,8977,22861.5,159929,197917,197917
22:48:03,SLEV,1837,2189.5,2858,2858,2858
22:48:03,OSTAT,1058,1058,1058,1058,1058
22:48:05,NEWORD,1571,2066,41571,177814,230066
22:48:05,PAYMENT,1239,1614.5,60537,172696,189871
22:48:05,SLEV,1611,1835.5,2018,2018,2018
22:48:05,DELIVERY,2783,3218,29508,29508,29508
22:48:05,OSTAT,819,1004,1138,1138,1138
22:48:07,NEWORD,1502,1884,2620,95360,199485
22:48:07,PAYMENT,1196,1502,2695,158211,161764
22:48:07,SLEV,1669,1758,2009,2028,2028
22:48:07,DELIVERY,2509,2870,101304,178791,178791
22:48:07,OSTAT,560,789,937,1014,1014
22:48:09,NEWORD,2226,3171,4343,247138,250751
22:48:09,PAYMENT,1299,1717,77937,140044,408683
22:48:09,SLEV,2218,2218,2218,2218,2218
22:48:09,DELIVERY,4066,6184,231006,231006,231006
22:48:09,OSTAT,590,857.5,1334,1334,1334
22:48:11,NEWORD,2326,3291,90543,133224,139893
22:48:11,PAYMENT,1355,1913.5,116667,197626,233702
22:48:11,SLEV,1679,1846,2139,2139,2139
22:48:11,DELIVERY,3617,6488,212570,212570,212570
22:48:11,OSTAT,639,846,922,1188,1188
22:48:13,NEWORD,2304,3206,78287,224659,268645
22:48:13,PAYMENT,1389,1881,36947,152186,220082
22:48:13,SLEV,1690,1915.5,2336,2336,2336
22:48:13,DELIVERY,4124,4836,163126,163126,163126
22:48:13,OSTAT,634,844,1017,1017,1017
22:48:15,NEWORD,2220,3287,122465,169717,176098
22:48:15,PAYMENT,1398,1841,2923,121094,151204
22:48:15,SLEV,1620,1931.5,2633,2633,2633
22:48:15,DELIVERY,4199,5883,272983,272983,272983
22:48:15,OSTAT,660,782,1009,1009,1009
22:48:17,NEWORD,2211,3294,68114,207710,241683
22:48:17,PAYMENT,1434,1788.5,3093,215341,338823
22:48:17,SLEV,1600,1770,1922,1922,1922
22:48:17,DELIVERY,4693,5088.5,6344,6344,6344
22:48:17,OSTAT,736,928,1134,1134,1134
22:48:19,NEWORD,2093,3214,71997,108153,179751
22:48:19,PAYMENT,1461,1888,6605,272834,659214
22:48:19,SLEV,1795,1992,2215,2215,2215
22:48:19,DELIVERY,3991,5592.5,6019,6019,6019
22:48:19,OSTAT,767,964,1742,1742,1742
22:48:21,NEWORD,2252,3285,4830,201546,218425
22:48:21,PAYMENT,1366,1918.5,4301,153158.5,190017
22:48:21,SLEV,1686,2128.5,2994,2994,2994
22:48:21,DELIVERY,3834,4318.5,7064,7064,7064
22:48:21,OSTAT,692,982.5,1243,1289,1289
22:48:23,NEWORD,2303,3180.5,10110,196828,211862
22:48:23,PAYMENT,1472,1953,3027,101434,244646
22:48:23,SLEV,1707,1860.5,2014,2014,2014
22:48:23,DELIVERY,3298,3992,4605,4778,4778
22:48:23,OSTAT,770,942,1299,1482,1482
22:48:25,NEWORD,2023,3232,68919,143617,195261
22:48:25,PAYMENT,1373,1786,4795,92964,197527
22:48:25,SLEV,1760,1830,2063,2063,2063
22:48:25,DELIVERY,3384,4101.5,4369,4588,4588
22:48:25,OSTAT,627,965,16648,16648,16648
22:48:27,NEWORD,1992,3057,73603,191380,280738
22:48:27,PAYMENT,1422,1913,3118,61905,158367
22:48:27,SLEV,1804,1988,2527,2527,2527
22:48:27,DELIVERY,3787,4071,4881,4881,4881
22:48:27,OSTAT,796,997,1221,1221,1221
22:48:29,NEWORD,2128,3058,20355,207259,215908
22:48:29,PAYMENT,1369,1874,2716,112195,290380
22:48:29,SLEV,1580,1811.5,2022,2046,2046
22:48:29,DELIVERY,3447,3969,5007,5007,5007
22:48:29,OSTAT,783,941,1290,1334,1334
22:48:31,NEWORD,2201,3062,7213,376824,376824
22:48:31,PAYMENT,1422,1837,116419,222895,274683
22:48:31,SLEV,1793,1868,2184,2184,2184
22:48:31,DELIVERY,3362,3753,4130,4130,4130
22:48:31,OSTAT,865,1104.5,1326,1326,1326
22:48:33,NEWORD,2032,3062,4144,156608,185003
22:48:33,PAYMENT,1399,1826,3135,213052,236737
22:48:33,SLEV,1708,1824,2269,2269,2269
22:48:33,DELIVERY,3792,4379.5,109672,109672,109672
22:48:33,OSTAT,671,838,1044,1044,1044
22:48:35,NEWORD,1977,2893,53264,193352,209019
22:48:35,PAYMENT,1294,1874,2457,84298,250914
22:48:35,SLEV,1556,1914,2121,2917,2917
22:48:35,DELIVERY,3400,3681,4526,4740,4740
22:48:35,OSTAT,675,911,1009,1177,1177
22:48:37,NEWORD,1936,3027,197201,215603,215603
22:48:37,PAYMENT,1391,1925,42754,195409,195409
22:48:37,SLEV,1898,1983,2012,2012,2012
22:48:37,DELIVERY,3909,43765.5,306547,306547,306547
22:48:37,OSTAT,721,1063,1236,1236,1236
22:48:39,NEWORD,26852,29790,219721.5,246060,246060
22:48:39,PAYMENT,12772,28454,33503,161066,161066
22:48:39,DELIVERY,73477,73477,73477,73477,73477
22:48:39,OSTAT,1209,1209,1209,1209,1209
22:48:41,NEWORD,1943,3092,31290,100271,205747
22:48:41,PAYMENT,1325,1810.5,82726,184646,187501
22:48:41,SLEV,1964,1964,1964,1964,1964
22:48:41,DELIVERY,3279,3956.5,31400,31400,31400
22:48:41,OSTAT,728,888,1070,1070,1070
22:48:43,NEWORD,1791,2844,4241,157332,172931
