Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:26:14,590e7c9e393e,74.55%,941MiB / 31.34GiB
2024-03-12 10:26:16,590e7c9e393e,36.86%,942.4MiB / 31.34GiB
2024-03-12 10:26:18,590e7c9e393e,31.80%,943.4MiB / 31.34GiB
2024-03-12 10:26:20,590e7c9e393e,18.07%,944.7MiB / 31.34GiB
2024-03-12 10:26:22,590e7c9e393e,52.94%,945.9MiB / 31.34GiB
2024-03-12 10:26:24,590e7c9e393e,75.05%,946.9MiB / 31.34GiB
2024-03-12 10:26:26,590e7c9e393e,14.47%,947.5MiB / 31.34GiB
2024-03-12 10:26:28,590e7c9e393e,4.63%,948.3MiB / 31.34GiB
2024-03-12 10:26:30,590e7c9e393e,55.64%,948.8MiB / 31.34GiB
2024-03-12 10:26:32,590e7c9e393e,35.85%,960.5MiB / 31.34GiB
2024-03-12 10:26:34,590e7c9e393e,32.36%,978.4MiB / 31.34GiB
2024-03-12 10:26:36,590e7c9e393e,2.12%,978.5MiB / 31.34GiB
2024-03-12 10:26:38,590e7c9e393e,7.24%,978.6MiB / 31.34GiB
2024-03-12 10:26:40,590e7c9e393e,18.00%,979.4MiB / 31.34GiB
2024-03-12 10:26:42,590e7c9e393e,1.69%,979.5MiB / 31.34GiB
2024-03-12 10:26:44,590e7c9e393e,1.88%,979.8MiB / 31.34GiB
2024-03-12 10:26:46,590e7c9e393e,16.67%,980.2MiB / 31.34GiB
2024-03-12 10:26:48,590e7c9e393e,14.02%,981MiB / 31.34GiB
2024-03-12 10:26:50,590e7c9e393e,10.75%,981.4MiB / 31.34GiB
2024-03-12 10:26:52,590e7c9e393e,16.19%,982MiB / 31.34GiB
2024-03-12 10:26:54,590e7c9e393e,9.04%,982.3MiB / 31.34GiB
2024-03-12 10:26:56,590e7c9e393e,13.60%,982.9MiB / 31.34GiB
2024-03-12 10:26:58,590e7c9e393e,20.50%,983.6MiB / 31.34GiB
2024-03-12 10:27:00,590e7c9e393e,11.26%,984.1MiB / 31.34GiB
2024-03-12 10:27:02,590e7c9e393e,14.69%,984.7MiB / 31.34GiB
2024-03-12 10:27:04,590e7c9e393e,10.25%,985.1MiB / 31.34GiB
2024-03-12 10:27:06,590e7c9e393e,4.75%,985.3MiB / 31.34GiB
2024-03-12 10:27:08,590e7c9e393e,13.69%,985.7MiB / 31.34GiB
2024-03-12 10:27:10,590e7c9e393e,12.40%,986MiB / 31.34GiB
2024-03-12 10:27:12,590e7c9e393e,3.04%,986.4MiB / 31.34GiB
2024-03-12 10:27:14,590e7c9e393e,1.48%,986.4MiB / 31.34GiB
2024-03-12 10:27:16,590e7c9e393e,17.42%,987MiB / 31.34GiB
2024-03-12 10:27:18,590e7c9e393e,13.38%,987.5MiB / 31.34GiB
2024-03-12 10:27:20,590e7c9e393e,11.16%,988.1MiB / 31.34GiB
2024-03-12 10:27:22,590e7c9e393e,14.21%,988.5MiB / 31.34GiB
2024-03-12 10:27:24,590e7c9e393e,18.09%,989MiB / 31.34GiB
2024-03-12 10:27:26,590e7c9e393e,8.60%,989.4MiB / 31.34GiB
2024-03-12 10:27:28,590e7c9e393e,3.14%,989.6MiB / 31.34GiB
2024-03-12 10:27:30,590e7c9e393e,10.21%,989.8MiB / 31.34GiB
2024-03-12 10:27:32,590e7c9e393e,21.85%,1021MiB / 31.34GiB
2024-03-12 10:27:34,590e7c9e393e,44.51%,995.2MiB / 31.34GiB
2024-03-12 10:27:36,590e7c9e393e,7.89%,992.2MiB / 31.34GiB
2024-03-12 10:27:38,590e7c9e393e,3.49%,992.2MiB / 31.34GiB
2024-03-12 10:27:40,590e7c9e393e,7.91%,992.6MiB / 31.34GiB
2024-03-12 10:27:42,590e7c9e393e,12.74%,992.8MiB / 31.34GiB
2024-03-12 10:27:44,590e7c9e393e,10.37%,993.2MiB / 31.34GiB
2024-03-12 10:27:46,590e7c9e393e,9.04%,993.4MiB / 31.34GiB
2024-03-12 10:27:48,590e7c9e393e,10.25%,993.7MiB / 31.34GiB
2024-03-12 10:27:50,590e7c9e393e,2.65%,993.8MiB / 31.34GiB
2024-03-12 10:27:52,590e7c9e393e,3.60%,993.9MiB / 31.34GiB
2024-03-12 10:27:54,590e7c9e393e,2.09%,994MiB / 31.34GiB
2024-03-12 10:27:56,590e7c9e393e,10.63%,994.2MiB / 31.34GiB
2024-03-12 10:27:58,590e7c9e393e,12.43%,994.6MiB / 31.34GiB
2024-03-12 10:28:00,590e7c9e393e,7.24%,994.8MiB / 31.34GiB
2024-03-12 10:28:02,590e7c9e393e,13.75%,995.1MiB / 31.34GiB
2024-03-12 10:28:04,590e7c9e393e,1.21%,995.2MiB / 31.34GiB
2024-03-12 10:28:06,590e7c9e393e,18.26%,995.5MiB / 31.34GiB
2024-03-12 10:28:08,590e7c9e393e,7.29%,995.7MiB / 31.34GiB
2024-03-12 10:28:10,590e7c9e393e,5.43%,996MiB / 31.34GiB
2024-03-12 10:28:12,590e7c9e393e,11.34%,996.1MiB / 31.34GiB
2024-03-12 10:28:14,590e7c9e393e,20.02%,996.6MiB / 31.34GiB
2024-03-12 10:28:16,590e7c9e393e,13.69%,997MiB / 31.34GiB
2024-03-12 10:28:18,590e7c9e393e,17.04%,997.4MiB / 31.34GiB
2024-03-12 10:28:20,590e7c9e393e,20.47%,997.6MiB / 31.34GiB
2024-03-12 10:28:22,590e7c9e393e,1.44%,997.8MiB / 31.34GiB
2024-03-12 10:28:24,590e7c9e393e,14.17%,998.1MiB / 31.34GiB
2024-03-12 10:28:26,590e7c9e393e,18.97%,998.4MiB / 31.34GiB
2024-03-12 10:28:28,590e7c9e393e,2.66%,998.6MiB / 31.34GiB
2024-03-12 10:28:30,590e7c9e393e,6.45%,998.6MiB / 31.34GiB
