Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:29:22,cbd02fa2bee4,10.74%,1.105GiB / 31.34GiB,3.52%
2024-03-09 10:29:25,cbd02fa2bee4,12.54%,1.105GiB / 31.34GiB,3.53%
2024-03-09 10:29:29,cbd02fa2bee4,10.68%,1.105GiB / 31.34GiB,3.53%
2024-03-09 10:29:33,cbd02fa2bee4,10.80%,1.105GiB / 31.34GiB,3.53%
2024-03-09 10:29:36,cbd02fa2bee4,9.08%,1.105GiB / 31.34GiB,3.53%
2024-03-09 10:29:40,cbd02fa2bee4,11.13%,1.106GiB / 31.34GiB,3.53%
2024-03-09 10:29:43,cbd02fa2bee4,5.92%,1.106GiB / 31.34GiB,3.53%
2024-03-09 10:29:47,cbd02fa2bee4,4.18%,1.106GiB / 31.34GiB,3.53%
2024-03-09 10:29:50,cbd02fa2bee4,10.17%,1.106GiB / 31.34GiB,3.53%
2024-03-09 10:29:54,cbd02fa2bee4,1.87%,1.107GiB / 31.34GiB,3.53%
2024-03-09 10:29:57,cbd02fa2bee4,15.72%,1.107GiB / 31.34GiB,3.53%
2024-03-09 10:30:01,cbd02fa2bee4,15.99%,1.107GiB / 31.34GiB,3.53%
2024-03-09 10:30:04,cbd02fa2bee4,17.54%,1.107GiB / 31.34GiB,3.53%
2024-03-09 10:30:08,cbd02fa2bee4,12.57%,1.108GiB / 31.34GiB,3.53%
2024-03-09 10:30:11,cbd02fa2bee4,15.71%,1.108GiB / 31.34GiB,3.54%
2024-03-09 10:30:15,cbd02fa2bee4,11.78%,1.108GiB / 31.34GiB,3.54%
2024-03-09 10:30:18,cbd02fa2bee4,6.24%,1.108GiB / 31.34GiB,3.54%
2024-03-09 10:30:22,cbd02fa2bee4,13.90%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:25,cbd02fa2bee4,13.71%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:29,cbd02fa2bee4,10.63%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:32,cbd02fa2bee4,1.35%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:36,cbd02fa2bee4,11.76%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:40,cbd02fa2bee4,12.70%,1.109GiB / 31.34GiB,3.54%
2024-03-09 10:30:43,cbd02fa2bee4,12.98%,1.11GiB / 31.34GiB,3.54%
2024-03-09 10:30:47,cbd02fa2bee4,9.48%,1.11GiB / 31.34GiB,3.54%
2024-03-09 10:30:50,cbd02fa2bee4,10.99%,1.11GiB / 31.34GiB,3.54%
2024-03-09 10:30:54,cbd02fa2bee4,13.43%,1.11GiB / 31.34GiB,3.54%
2024-03-09 10:30:57,cbd02fa2bee4,10.35%,1.111GiB / 31.34GiB,3.54%
2024-03-09 10:31:01,cbd02fa2bee4,10.42%,1.111GiB / 31.34GiB,3.55%
2024-03-09 10:31:04,cbd02fa2bee4,15.65%,1.124GiB / 31.34GiB,3.59%
2024-03-09 10:31:08,cbd02fa2bee4,6.95%,1.128GiB / 31.34GiB,3.60%
2024-03-09 10:31:11,cbd02fa2bee4,6.23%,1.112GiB / 31.34GiB,3.55%
2024-03-09 10:31:15,cbd02fa2bee4,15.17%,1.112GiB / 31.34GiB,3.55%
2024-03-09 10:31:18,cbd02fa2bee4,9.98%,1.112GiB / 31.34GiB,3.55%
2024-03-09 10:31:22,cbd02fa2bee4,13.58%,1.113GiB / 31.34GiB,3.55%
2024-03-09 10:31:25,cbd02fa2bee4,11.66%,1.113GiB / 31.34GiB,3.55%
2024-03-09 10:31:29,cbd02fa2bee4,13.48%,1.113GiB / 31.34GiB,3.55%
