Time,Container Name,CPU Usage (seconds),Memory Usage (current),Memory Usage (peak)
2024-03-08 22:49:47,pgsql,185,2.84GB,2.85GB
2024-03-08 22:49:49,pgsql,185,2.84GB,2.85GB
2024-03-08 22:49:51,pgsql,186,2.84GB,2.85GB
2024-03-08 22:49:53,pgsql,186,2.84GB,2.85GB
2024-03-08 22:49:55,pgsql,186,2.84GB,2.85GB
2024-03-08 22:49:58,pgsql,186,2.84GB,2.85GB
2024-03-08 22:50:00,pgsql,187,2.84GB,2.85GB
2024-03-08 22:50:02,pgsql,187,2.84GB,2.85GB
2024-03-08 22:50:04,pgsql,187,2.84GB,2.85GB
2024-03-08 22:50:06,pgsql,187,2.84GB,2.85GB
2024-03-08 22:50:08,pgsql,188,2.84GB,2.85GB
2024-03-08 22:50:10,pgsql,188,2.84GB,2.85GB
2024-03-08 22:50:12,pgsql,188,2.84GB,2.85GB
2024-03-08 22:50:14,pgsql,188,2.84GB,2.85GB
2024-03-08 22:50:17,pgsql,189,2.84GB,2.85GB
2024-03-08 22:50:19,pgsql,189,2.84GB,2.85GB
2024-03-08 22:50:21,pgsql,189,2.84GB,2.85GB
2024-03-08 22:50:23,pgsql,189,2.84GB,2.85GB
2024-03-08 22:50:25,pgsql,190,2.84GB,2.85GB
2024-03-08 22:50:27,pgsql,190,2.84GB,2.85GB
2024-03-08 22:50:29,pgsql,190,2.84GB,2.85GB
2024-03-08 22:50:31,pgsql,191,2.84GB,2.85GB
2024-03-08 22:50:33,pgsql,191,2.85GB,2.85GB
2024-03-08 22:50:35,pgsql,191,2.84GB,2.85GB
2024-03-08 22:50:38,pgsql,191,2.85GB,2.85GB
2024-03-08 22:50:40,pgsql,191,2.85GB,2.85GB
2024-03-08 22:50:42,pgsql,192,2.85GB,2.85GB
2024-03-08 22:50:44,pgsql,192,2.85GB,2.85GB
2024-03-08 22:50:46,pgsql,193,2.85GB,2.85GB
2024-03-08 22:50:48,pgsql,193,2.85GB,2.85GB
2024-03-08 22:50:50,pgsql,193,2.85GB,2.85GB
2024-03-08 22:50:52,pgsql,193,2.85GB,2.85GB
2024-03-08 22:50:54,pgsql,194,2.85GB,2.85GB
2024-03-08 22:50:56,pgsql,194,2.85GB,2.85GB
2024-03-08 22:50:59,pgsql,194,2.85GB,2.85GB
2024-03-08 22:51:01,pgsql,194,2.85GB,2.85GB
2024-03-08 22:51:03,pgsql,195,2.85GB,2.85GB
2024-03-08 22:51:05,pgsql,195,2.85GB,2.85GB
2024-03-08 22:51:07,pgsql,195,2.85GB,2.85GB
2024-03-08 22:51:09,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:11,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:13,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:15,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:18,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:20,pgsql,196,2.85GB,2.85GB
2024-03-08 22:51:22,pgsql,197,2.87GB,2.87GB
2024-03-08 22:51:24,pgsql,197,2.87GB,2.87GB
2024-03-08 22:51:26,pgsql,198,2.87GB,2.87GB
2024-03-08 22:51:28,pgsql,198,2.87GB,2.87GB
2024-03-08 22:51:30,pgsql,199,2.86GB,2.88GB
2024-03-08 22:51:32,pgsql,199,2.86GB,2.88GB
2024-03-08 22:51:34,pgsql,200,2.86GB,2.88GB
2024-03-08 22:51:36,pgsql,200,2.86GB,2.88GB
2024-03-08 22:51:39,pgsql,200,2.86GB,2.88GB
2024-03-08 22:51:41,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:43,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:45,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:47,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:49,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:51,pgsql,201,2.86GB,2.88GB
2024-03-08 22:51:53,pgsql,202,2.86GB,2.88GB
2024-03-08 22:51:55,pgsql,202,2.86GB,2.88GB
2024-03-08 22:51:58,pgsql,202,2.86GB,2.88GB
2024-03-08 22:52:00,pgsql,203,2.86GB,2.88GB
2024-03-08 22:52:02,pgsql,203,2.86GB,2.88GB
2024-03-08 22:52:04,pgsql,203,2.86GB,2.88GB
2024-03-08 22:52:06,pgsql,204,2.86GB,2.88GB
2024-03-08 22:52:08,pgsql,204,2.86GB,2.88GB
2024-03-08 22:52:10,pgsql,205,2.86GB,2.88GB
2024-03-08 22:52:12,pgsql,205,2.86GB,2.88GB
